iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
SLB,Oceania,Solomon Islands,2020-10-27,8.0,4.0,0.714,,,0.0,11.364,5.682,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-10-28,8.0,0.0,0.714,,,0.0,11.364,0.0,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-10-29,8.0,0.0,0.571,,,0.0,11.364,0.0,0.812,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-10-30,8.0,0.0,0.571,,,0.0,11.364,0.0,0.812,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-10-31,8.0,0.0,0.571,,,0.0,11.364,0.0,0.812,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-01,8.0,0.0,0.571,,,0.0,11.364,0.0,0.812,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-02,13.0,5.0,1.286,,,0.0,18.466,7.102,1.826,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-03,13.0,0.0,0.714,,,0.0,18.466,0.0,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-04,13.0,0.0,0.714,,,0.0,18.466,0.0,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-05,13.0,0.0,0.714,,,0.0,18.466,0.0,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-06,13.0,0.0,0.714,,,0.0,18.466,0.0,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-07,13.0,0.0,0.714,,,0.0,18.466,0.0,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-08,13.0,0.0,0.714,,,0.0,18.466,0.0,1.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-09,16.0,3.0,0.429,,,0.0,22.727,4.261,0.609,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-10,16.0,0.0,0.429,,,0.0,22.727,0.0,0.609,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-11,16.0,0.0,0.429,,,0.0,22.727,0.0,0.609,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-12,16.0,0.0,0.429,,,0.0,22.727,0.0,0.609,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-13,16.0,0.0,0.429,,,0.0,22.727,0.0,0.609,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-14,16.0,0.0,0.429,,,0.0,22.727,0.0,0.609,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-15,16.0,0.0,0.429,,,0.0,22.727,0.0,0.609,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-16,16.0,0.0,0.0,,,0.0,22.727,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-17,16.0,0.0,0.0,,,0.0,22.727,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-18,16.0,0.0,0.0,,,0.0,22.727,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-19,16.0,0.0,0.0,,,0.0,22.727,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-20,16.0,0.0,0.0,,,0.0,22.727,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-21,16.0,0.0,0.0,,,0.0,22.727,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-22,16.0,0.0,0.0,,,0.0,22.727,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-23,16.0,0.0,0.0,,,0.0,22.727,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-24,17.0,1.0,0.143,,,0.0,24.148,1.42,0.203,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-25,17.0,0.0,0.143,,,0.0,24.148,0.0,0.203,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-26,17.0,0.0,0.143,,,0.0,24.148,0.0,0.203,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-27,17.0,0.0,0.143,,,0.0,24.148,0.0,0.203,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-28,17.0,0.0,0.143,,,0.0,24.148,0.0,0.203,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-29,17.0,0.0,0.143,,,0.0,24.148,0.0,0.203,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-11-30,17.0,0.0,0.143,,,0.0,24.148,0.0,0.203,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-01,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-02,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-03,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-04,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-05,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-06,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-07,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-08,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-09,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-10,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-11,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-12,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-13,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-14,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-15,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-16,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-17,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-18,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-19,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-20,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-21,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-22,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-23,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-24,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-25,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-26,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-27,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-28,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-29,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-30,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2020-12-31,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
SLB,Oceania,Solomon Islands,2021-01-01,17.0,0.0,0.0,,,0.0,24.148,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,,,,
